ruangan,penghuni,jarak_meter
Ruang_Melati,70,47.54
Ruang_Mawar,37,37.34
Ruang_Anggrek,31,29.96
Ruang_Tulip,47,24.55
Ruang_Matahari,45,16.12
Ruang_Lili,44,42.02
Ruang_Kamboja,38,48.76
Ruang_Kenanga,36,28.84
Ruang_Dahlia,64,36.98
Ruang_Teratai,35,41.27
Ruang_Flamboyan,67,31.74
Ruang_Kana,57,39.26
Ruang_Bougenvil,32,16.52
Ruang_Anyelir,31,39.46
Ruang_Krisan,35,31.37
Ruang_Lavender,43,47.35
Ruang_Sakura,44,13.84
Ruang_Azalea,62,27.86
Ruang_Gardenia,68,42.01
Ruang_Iris,31,20.94
Ruang_Peony,65,17.36
Ruang_Begonia,42,13.86
Ruang_Magnolia,64,33.24
Ruang_Camelia,56,15.46
Ruang_Zinnia,44,46.6
Ruang_Aster,58,37.73
Ruang_Jasmine,67,26.46
Ruang_Hydrangea,47,18.73
Ruang_Freesia,30,34.23
Ruang_Poppy,40,42.4
Ruang_Ranunculus,57,27.28
Ruang_Marigold,51,30.39
Ruang_Verbena,47,35.43
Ruang_Petunia,39,11.66
Ruang_Geranium,43,23.67
Ruang_Cosmos,51,15.88
Ruang_Edelweis,36,34.27
Ruang_Bromelia,35,32.6
Ruang_Heliconia,54,49.03
Ruang_Cempaka,36,40.41
Ruang_Wijayakusuma,52,24.13
Ruang_SedapMalam,52,5.75
Ruang_TapakDara,68,40.15
Ruang_PacarAir,46,8.53
Ruang_BungaSepatu,32,20.94
Ruang_Asoka,59,31.15
Ruang_NusaIndah,64,49.85
Ruang_Kantil,37,33.33
Ruang_Kecubung,54,44.16
Ruang_Soka,35,48.43
Ruang_Lotus,65,17.26
Ruang_Bluebell,48,10.2
Ruang_Daffodil,70,5.84
Ruang_Foxglove,69,33.61
Ruang_Hibiscus,53,26.5
Ruang_Lilac,66,48.34
Ruang_Narcissus,42,13.74
Ruang_Oleander,34,40.9
Ruang_Primrose,32,19.63
Ruang_Snapdragon,44,32.78
Ruang_Wisteria,48,11.63
Ruang_Yarrow,35,38.57
Ruang_Amaryllis,44,35.24
Ruang_Anemone,36,11.87
Ruang_Buttercup,54,29.34
Ruang_Carnation,47,36.23
Ruang_Delphinium,59,14.99
Ruang_Gladiol,70,31.97
Ruang_Heather,53,42.77
Ruang_Honeysuckle,40,9.6
Ruang_Impatiens,53,30.25
Ruang_Larkspur,52,33.56
Ruang_Mimosa,43,28.94
Ruang_Orchid,47,22.6
Ruang_Periwinkle,34,31.82
Ruang_QueenAnne,68,9.19
Ruang_Rhododendron,70,12.88
Ruang_Sunflower,40,7.52
Ruang_Tuberose,64,26.28
Ruang_Violet,45,35.27
Ruang_Wallflower,40,25.0
Ruang_Xeranthemum,59,28.27
Ruang_YuccaBloom,54,25.18
Ruang_Zephyranthes,47,26.1
Ruang_AcaciaBloom,70,16.34
Ruang_Balsam,65,5.27
Ruang_Coreopsis,44,22.67
Ruang_Echinacea,50,5.97
Ruang_ForgetMeNot,33,33.32
Ruang_Gazania,44,25.66
Ruang_Jacaranda,32,11.37
Ruang_Lantana,50,30.79
Ruang_MorningGlory,55,46.36
Ruang_Nemesia,47,47.01
Ruang_Oxalis,34,10.46
Ruang_Plumeria,43,37.96
Ruang_Statice,66,7.63
Ruang_Verbascum,50,25.61
Ruang_Waterlily,43,43.82
Ruang_ZebraPlant,61,20.51
Ruang_Melati,55,29.55
Ruang_Mawar,59,15.93
Ruang_Anggrek,39,6.19
Ruang_Tulip,46,9.62
Ruang_Matahari,38,38.47
Ruang_Lili,45,31.0
Ruang_Kamboja,65,17.77
Ruang_Kenanga,64,49.39
Ruang_Dahlia,46,39.61
Ruang_Teratai,67,9.77
Ruang_Flamboyan,57,30.9
Ruang_Kana,67,5.28
Ruang_Bougenvil,55,41.64
Ruang_Anyelir,53,5.88
Ruang_Krisan,44,29.24
Ruang_Lavender,38,40.94
Ruang_Sakura,62,19.74
Ruang_Azalea,61,24.56
Ruang_Gardenia,35,32.51
Ruang_Iris,33,10.17
Ruang_Peony,37,24.88
Ruang_Begonia,39,41.45
Ruang_Magnolia,70,9.2
Ruang_Camelia,40,47.18
Ruang_Zinnia,57,25.15
Ruang_Aster,68,16.57
Ruang_Jasmine,34,17.05
Ruang_Hydrangea,54,42.3
Ruang_Freesia,54,32.46
Ruang_Poppy,68,20.48
Ruang_Ranunculus,59,14.08
Ruang_Marigold,63,40.32
Ruang_Verbena,46,13.84
Ruang_Petunia,65,18.78
Ruang_Geranium,30,40.61
Ruang_Cosmos,37,31.24
Ruang_Edelweis,64,38.81
Ruang_Bromelia,47,7.5
Ruang_Heliconia,51,34.94
Ruang_Cempaka,37,12.16
Ruang_Wijayakusuma,48,19.26
Ruang_SedapMalam,57,34.23
Ruang_TapakDara,40,35.91
Ruang_PacarAir,59,10.4
Ruang_BungaSepatu,30,17.68
Ruang_Asoka,46,17.77
Ruang_NusaIndah,62,22.19
Ruang_Kantil,41,24.14
Ruang_Kecubung,62,8.39
Ruang_Soka,36,45.54
Ruang_Lotus,70,48.3
Ruang_Bluebell,49,19.08
Ruang_Daffodil,70,42.11
Ruang_Foxglove,62,23.38
Ruang_Hibiscus,68,38.7
Ruang_Lilac,42,49.15
Ruang_Narcissus,39,5.86
Ruang_Oleander,53,12.72
Ruang_Primrose,40,43.28
Ruang_Snapdragon,64,17.87
Ruang_Wisteria,63,25.36
Ruang_Yarrow,30,5.39
Ruang_Amaryllis,68,46.75
Ruang_Anemone,50,35.32
Ruang_Buttercup,61,10.93
Ruang_Carnation,31,36.36
Ruang_Delphinium,37,5.18
Ruang_Gladiol,53,24.87
Ruang_Heather,49,30.05
Ruang_Honeysuckle,45,26.89
Ruang_Impatiens,33,34.61
Ruang_Larkspur,45,20.79
Ruang_Mimosa,66,47.54
Ruang_Orchid,35,39.81
Ruang_Periwinkle,35,42.41
Ruang_QueenAnne,61,47.72
Ruang_Rhododendron,34,48.4
Ruang_Sunflower,64,15.05
Ruang_Tuberose,38,46.04
Ruang_Violet,38,34.45
Ruang_Wallflower,60,33.18
Ruang_Xeranthemum,65,41.42
Ruang_YuccaBloom,40,40.57
Ruang_Zephyranthes,46,20.11
Ruang_AcaciaBloom,63,12.84
